,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text
102,3836,1933,127871,1,"Gujarat: Tomorrow is the last date for filing nomination papers for the second phase of polling.

In the second phase, voting for the 93 seats will be held on 5th December.

#GujaratAssemblyPolls | #PollsWithAIR https://t.co/RMBZxHbN8L"
103,319,150,236,0,"Former quota agitation leader #ReshmaPatel joined the #AAP on Wednesday, a day after resigning from the #NCP apparently over the denial of ticket for the upcoming #GujaratAssemblyPolls  https://t.co/dP5SqVx4wk"
104,156,21,318,3,"Congress releases one more list of 37 candidates for the upcoming Gujarat Assembly elections.

#GujaratAssemblyPolls | #PollsWithAIR https://t.co/4ajBStrDPj"
105,78,0,1821,2,"‘Give me one chance, try me once', says #ArvindKejriwal ahead of #GujaratAssemblyPolls 

@ArvindKejriwal 
https://t.co/tZMGp5Zc6y"
106,1684,745,72777,0,#GujaratAssemblyPolls: #BJP Declares Three More Candidates; 181 So Far https://t.co/kSTuSpdVtG
107,296,228,28518,0,"#GujaratAssemblyPolls: #BJP Declares Three More Candidates; 181 So Far
https://t.co/8DIF4LGKNv"
108,293,140,1874,0,Is #Gujarat model is fake model? Is completely PR model? #GujaratElections #GujaratAssemblyPolls #GujaratModel #Gujarat #Surat #AhmedabadAirport
109,292,137,13413,30,"#Congress campaign in #Gujarat 
Volunteers connected with 65 lakh people in 5000 Villages of 182 assemblies. Took a written note of their concerns.

Congress ka Darr Modi ki speech mein saaf dikh raha tha
#GujaratAssemblyPolls #CongressForGujarat 
#GujaratElections2022 https://t.co/LGu2VIMxWM"
110,225,436,16440,0,Shameless !! Campaigning openly for AAP by @ndtvindia for #GujaratAssemblyPolls. Prime time debate intro by Nidhi Kulapathi was an open campaign for AAP. Gutter level Journalism
111,35,21,28,0,Who will win the match? #GujaratElections2022 #elections2022 #Politics #GujaratAssemblyPolls
112,117,15,2191,20,#GujaratAssemblyPolls cartoon @DeccanHerald https://t.co/Tcq9jOsPwb
113,594,399,19420,1,Crowd being gathered while filing nominations of @INCGujarat candidates is a sight to watch! The atmosphere is energetic. Congress sticks to its basics and yet again showing its strength on the ground ahead of the #GujaratAssemblyPolls. https://t.co/2cRBVBB0oY
114,656,1155,406371,12,"Apart from the political buzz, you can track my timeline for the food buzz in #GujaratAssemblyPolls Trust me, you won’t be disappointed! What is life for a Gujju if not for our love for good food 🤩🤩🤩"
115,922,464,27727,1,"One more Gujarat Congress MLA Niranjan Patel Resigns.

#GujaratAssemblyPolls"
116,3560,512,4682,0,"🇮🇳Support Small Businesses Of  
@womanfashion008 By Like,Follow,Retweet 
Thank you💖

#womanfashionwear #india
#हिंदुओं_का_गौरव_योगीजी  #PMModiAtG20 #GujaratAssemblyPolls #shraddhawalker #8billionpeople #INDvsNZ #NallaIrumaa #DanishSiddiquiAward"
117,118,70,80518,5,#Congress releases the final list of 37 candidates for #GujaratAssemblyPolls. https://t.co/9zRNayWNG8
118,1006,4502,8962,2,"#Congress leader #JigneshMevani pitches for a Congress surge in the 2022 #GujaratAssemblyPolls. Read his interview with @iAbhinayD here:

https://t.co/YUNcBjcMqP"
119,196,123,29519,2,A must read report by @hrishirajanand_ on Disturbed Areas act. #GujaratAssemblyPolls https://t.co/1fItAj4g9f
120,1684,745,72777,0,"#GujaratAssemblyPolls: #BJP Uprooted Appeasement Politics And Established Rule Of Law, Says #AmitShah https://t.co/0McBfmb0yV"
121,296,228,28518,0,"#GujaratAssemblyPolls: #BJP Uprooted Appeasement Politics And Established Rule Of Law, Says #AmitShah
https://t.co/3BCUZeFexZ"
122,1684,745,72777,0,Former Quota Agitation Leader #ReshmaPatel Joins #AAP Ahead Of #GujaratAssemblyPolls https://t.co/6XIL1VMQLD
123,296,228,28518,0,"Former Quota Agitation Leader #ReshmaPatel Joins #AAP Ahead Of #GujaratAssemblyPolls
https://t.co/AY1ynTm21u"
124,1684,745,72777,0,#GujaratAssemblyPolls: #NarendraModi To Hold Road Show In #Vapi On #Saturday https://t.co/V01GcljNPJ
125,296,228,28518,0,"#GujaratAssemblyPolls: #NarendraModi To Hold Road Show In #Vapi On #Saturday
https://t.co/mPLBGsgio4"
126,1404,1751,143515,0,"@ArvindKejriwal exposed 👇
Rate Card for Ticket in Election ☺️
#GujaratAssemblyPolls https://t.co/sgEBG5nvT4"
