Tweet Scraped,Username,Description,Location,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text,Hashtags Used
284,abhi_ar1,"Human by birth, Indian by Nationality, Primary religion Humanity & thereafter Hindu, Blood colour same as all human beings.",India,1612,620,9164,0,"Voters of Gujarat in #GujaratAssemblyElection2022 
#GujaratElections https://t.co/qcJQddv1qZ","['GujaratAssemblyElection2022', 'GujaratElections']"
295,yadav4priya,"#जयश्रीकृष्णा जिनका नाम है, #गोकुल जिनका धाम है, ऐसे #कृष्णा को जिनके हम #वंशज हैं,उन को मेरा बारंबार प्रणाम है। | | Modi Ji -Yogi  Fan | Hindu/",,1116,1665,5066,0,"Sachin Pilot

Harish Chowdhary

Ajay Maken..

The challenge to Congress President Mallikarjun Kharge is increasing. Have to take a decision.. #GujaratElections",['GujaratElections']
298,vikramyagyi,"hello everyone,","Ahmadabad City, India",77,16,122,0,Good wishes to @Rivaba4BJP for upcoming Gujarat Election. #jamnagar @imjadeja #GujaratElections #bjp4gujarat,"['jamnagar', 'GujaratElections', 'bjp4gujarat']"
301,RajeshMy2000,Software Engineer,Munich,3590,1127,21498,2,"BJP is scared of AAP now in Gujarat
#GujaratElections2022 
#GujaratElections #Gujaratpolitics #BJPKidnapsAAPCandidate #EkMokoKejriwalNe #AAPWaveInGujarat https://t.co/yTYdRRaltf","['GujaratElections2022', 'GujaratElections', 'Gujaratpolitics', 'BJPKidnapsAAPCandidate']"
308,MukundG42499263,,vadodara,123,41,5804,2,"AAP Wave in Gujarat👌🏻👌🏻👌🏻
#GujaratElections2022 #GujaratElections #Gujaratpolitics #BJPKidnapsAAPCandidate #EkMokoKejriwalNe #AAPWaveInGujarat https://t.co/UEeBOGbTFh","['GujaratElections2022', 'GujaratElections', 'Gujaratpolitics', 'BJPKidnapsAAPCandidate']"
312,SharuAggarwal,"कट्टर राष्ट्रवादी, Proud Indian, My dream is to Make India No.1 country in the world. Unite India. Lets get united against Anti-National powers. Jai Hind!!!",Chandigarh,969,932,42429,1,"#GujaratElections2022 | Early release of Bilkis case convicts talking point in Gujarat polls, but views divided on Congress gain
#Gujarat #GujaratElection2022 #GujaratElections

Follow Gujarat Election 2022 News Live Updates here:
https://t.co/aCfx7jIIfZ",['GujaratElections2022']
319,bhs7rocks,"A student of rational thinking. Chess Player, Ferroequinologist, Avid reader,Poet and Blogger,Policies and Political observer.",India,1126,2841,131856,0,14th November was the last date to file nominations for phase 1 of #GujaratElections ! So did DG Vanzara’s new party Praja Vijay Party’s candidates for 1st phase file their nominations ?? He had declared “intentions” to contest all 182 seats. No tweet on his TL yet on candidates.,['GujaratElections']
323,DavidDass1,Views expressed in tweets are personal and any retweet is not endorsement of views.,"New Delhi, India",174,191,6962,1,"Flop Gujarat Model! 
Only fraud and Corrupt Tadipaar Neta Elected by making fools of Gujarat people.
#GujaratElections2022 #EkMokoKejriwalNe #GujaratElections #IamWithAAP #BJPKidnapsAAPCandidate #bjpmodifailed #AAPGujarat https://t.co/gzLFei0vg9","['GujaratElections2022', 'EkMokoKejriwalNe', 'GujaratElections', 'IamWithAAP', 'BJPKidnapsAAPCandidate', 'bjpmodifailed', 'AAPGujarat']"
327,Youturn_media,Youturn English | IFCN Signatories - https://t.co/qWi3cE9WIB | Youtube - https://t.co/nv2c6Boohm,"Chennai, India",4,527,281,0,"An old image of the crowd gathered for a rally organised by TMC in Kolkata is shared as AAP road show in Surat 

https://t.co/OIrkPDGjC8 

#FactCheck #Factchecking #Youturn #GujaratElections #GujaratElections2022 #AamAadmiParty #TMC","['FactCheck', 'Factchecking', 'Youturn', 'GujaratElections', 'GujaratElections2022', 'AamAadmiParty', 'TMC']"
333,mallu_andolan,"Hospitality Consultant
Views & RT personal and YES not connected to Maharashtra Tourism",fort kochi,2482,2379,49487,0,@Mohansinha Especially so if altaf joins BJP's could get a ticket too no wonder patel of ajanta watch #morbi #morbitragedy still Scot free due to huge donations to ruling party #Gujarat #GujaratElections #GujaratElections2022,"['morbi', 'morbitragedy', 'Gujarat', 'GujaratElections', 'GujaratElections2022']"
